Inactive,Internal ID,Name
No,1,CARD000 CARDS
No,16,ACEC001 ACE Card
No,17,ACE002-DCTA Delivery Chinatown Ace
No,18,ACE003-NSA Nuskin Cobrand Ace
No,19,ACE004-POP8A Popular Cobrand Ace
No,20,ACE005-DDD8A Don Don Donki Ace
No,21,ACE006-VCA Vicom Ace
No,22,ACE007-VCSA Vicom Staff Ace
No,23,ACE008-MRA Mustafa Cobrand Ace
No,24,ACE009-SSA Sheng Siong Ace
No,25,ACE010-JPA JP Pepperdine Ace
No,207,ACE011-UPI $500 limit UA3002
No,235,ACE012-Staff Card ACE AC3403
No,238,ACE013-ACE Personal AC3001
No,239,ACE014-COURTS REBATE ACE AC3401
No,4,PCC003-DCSCBL Diners Club CASHBACK S$500 Limit Card
No,27,BCash001 Biz Cash
No,101,BCash002-Dcash Dcash
No,102,BCash003-Rcash Ready Cash
No,103,BCash004-Byso BizCash-Byso
No,26,BNPL001 BNPL
No,15,CC001 Charge Card
No,213,CC002-DCI Charge Card CH1001
No,14,CCC001 Corporate Credit Card
No,221,CCC002 Merchant Credit MC2602
No,222,CCC003 Corporate Credit MC2603
No,223,CCC004 DCS D-Lite Corporate Card MC2604
No,2,PCC001 Personal Credit Card
No,3,PCC002-DCSCBC Diners Club CASHBACK Credit
No,5,PCC004-DCTC Delivery Chinatown Credit
No,6,PCC005-NSC Nuskin Cobrand Credit
No,7,PCC006-POP8C Popular Cobrand Credit
No,8,PCC007-DDD8C Don Don Donki Credit
No,9,PCC008-VCC Vicom Credit
No,10,PCC009-MRC Mustafa Cobrand Credit
No,11,PCC010-SSC Sheng Siong Credit
No,12,PCC011-LBC Long Beach Credit
No,13,PCC012-JPC JP Pepperdine Credit
No,201,PCC013-Hydefi Credit
No,206,PCC014-UPI UC2004
No,208,PCC015-MC Ultimate Platinum
No,209,PCC016-UPI D-Lite 3502
No,210,PCC017-MC D-Lite 3503
No,211,PCC018-Imperium World Elite MC2008
No,212,PCC019-DCI Credit Card CR2001
No,214,PCC020-UPI Lite UV3501
No,215,PCC021-MC Metal Dual Interface MC2008
No,224,PCC022-DCS Flex Visa Platinum Card Basic VC2006
No,225,PCC023-DCS Flex Visa Platinum Card Limited Ed VC2007
No,226,PCC024-DCI VICOM
No,227,PCC025-DCI DDDK
No,228,PCC026-DCI SHENG SIONG
No,229,PCC027-DCI MUSTAFA
No,230,PCC028-DCI POPULAR
No,231,PCC029- Credit Personal CR2001
No,232,PCC030- Credit Personal FOC Product CR2002
No,234,PCC031- Staff Card Credit CR2403
No,240,PCC032-COURTS REBATE CREDIT CR2401
No,241,PCC033-NATURE'S FARM COBRAND CREDIT CR2101
No,242,PCC034-DCS imToken Card MV3505
No,243,PCC035-VC Flex Basic (B/Y) VC2006
No,244,PCC036-VC Flex Limited Edition (M/F) VC2007
No,245,PCC037-MC D-Lite (USD) MV3508
No,246,PCC038-UPI Platinum Dragon Card UV3509
No,247,PCC039-MC Platinum Dragon Card MV3510
No,248,PCC040-MC COURTS MC2112
No,216,PURCHASING CARD
No,219,PC4301 CHARGE PCARD CENTRAL BILLING
No,217,PC4302 CREDIT PCARD CENTRAL BILLING
No,220,PC4311 CHARGE PCARD INDIV BILLING
No,218,PC4312 CREDIT PCARD INDIV BILLING
Yes,233,PCC-deleted
Yes,237,PCC-deleted02
No,28,POS000 Terminals
No,37,Comm001 Commission Income
No,40,Comm002-Alipay
No,38,Comm002-CardNow
No,42,Comm002-CEPAS CEPAS
No,39,Comm002-DinersClub
No,47,Comm002-JCB
No,45,Comm002-Master
No,43,Comm002-QR Wallet
No,46,Comm002-UPI
No,44,Comm002-VISA
No,41,Comm002-WeChat
No,29,POS001 Terminal
No,30,POS002-Vx520 Vx520
No,31,POS003-Vx680 Vx680
No,32,POS004-Vx510 Vx510
No,33,POS005-Vx820 Vx820
No,34,POS006-Q80 Q80
No,35,POS007-S80 S80
No,36,POS008-A930 A930
No,202,VOC000 Vouchers
No,203,VOC001 Vouchers Sheng Siong
No,204,VOC002 Vouchers Popular
No,205,VOC003 Vouchers FairPrice
